Row #,Species,Count,Location,S/P,Date,LocID,SubID
145,Dunlin,1,"Teesta Barrage, Gajoldoba",IN-WB,17 Dec 2016,L2648520,S33129670
146,Little Stint,,Pulicat Bird Sanctuary--SHAR,IN-AP,06 Mar 2016,L3167817,S31729829
147,Common Snipe,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
148,Pin-tailed Snipe,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
149,Terek Sandpiper,2,Muzhappilangad Beach,IN-KL,27 Mar 2016,L3077663,S31459805
150,Common Sandpiper,1,"Hulimangala, Bangalore",IN-KA,16 Nov 2014,L2591349,S32125659
151,Green Sandpiper,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
152,Spotted Redshank,1,"Teesta Barrage, Gajoldoba",IN-WB,17 Dec 2016,L2648520,S33129670
153,Common Greenshank,1,Chitradurga Hospet road,IN-KA,10 Nov 2015,L4022561,S26601608
154,Willet,1,Naples beach,US-FL,21 Oct 2014,L3357295,S31717645
155,Marsh Sandpiper,1,Sira Lake and wetlands,IN-KA,01 Feb 2015,L3331606,S21629398
156,Wood Sandpiper,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
157,Common Redshank,1,"Madhure Kere, Bangalore",IN-KA,13 Mar 2016,L2525563,S28482414
158,Barred Buttonquail,5,Tungabhadra Right Canal,IN-KA,11 Nov 2015,L4873896,S26601605
159,Indian Courser,11,Jayamangali Blackbuck Reserve,IN-KA,14 Aug 2016,L2407928,S31275250
160,Oriental Pratincole,12,Tunga Bhadra backwaters ,IN-KA,25 Mar 2017,L5616343,S35434583
161,Small Pratincole,2,Hessaraghatta Lake,IN-KA,11 Oct 2015,L2525708,S25388342
162,Pomarine Jaeger,1,IN-Karnataka-Mangaluru-BMS Ferry Line - 12.859x74.832,IN-KA,18 Feb 2017,L5491087,S34603262
163,Parasitic Jaeger,1,IN-Karnataka-Mangaluru-BMS Ferry Line - 12.859x74.832,IN-KA,18 Feb 2017,L5491087,S34603262
164,Slender-billed Gull,1,"Kodi, Kundapura, Karnataka, India",IN-KA,25 Dec 2016,L3112538,S33362200
165,Black-headed Gull,3,"Kodi, Kundapura, Karnataka, India",IN-KA,25 Dec 2016,L3112538,S33362200
166,Brown-headed Gull,1,"Kumbhargoan Area, Bhigwan",IN-MH,23 Dec 2014,L4124304,S31685196
167,Laughing Gull,10,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
168,Pallas's Gull,1,Muzhappilangad Beach,IN-KL,27 Mar 2016,L3077663,S31459805
169,California Gull,1,San Francisco Zoo,US-CA,30 Aug 2010,L638260,S32587693
170,Caspian Gull,1,"Kodi, Kundapura, Karnataka, India",IN-KA,25 Dec 2016,L3112538,S33362200
171,Lesser Black-backed Gull,3,"Kodi, Kundapura, Karnataka, India",IN-KA,25 Dec 2016,L3112538,S33362200
172,Bridled Tern,1,IN-Karnataka-Mangaluru-BMS Ferry Line - 12.859x74.832,IN-KA,18 Feb 2017,L5491087,S34603262
173,Little Tern,2,IN-Karnataka-Mangaluru-BMS Ferry Line - 12.859x74.832,IN-KA,18 Feb 2017,L5491087,S34603262
174,Gull-billed Tern,2,Nochikuppam,IN-TN,06 Mar 2016,L4447093,S31730083
175,Caspian Tern,4,Nochikuppam,IN-TN,06 Mar 2016,L4447093,S31730083
176,Whiskered Tern,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
177,Common Tern,3,IN-Karnataka-Mangaluru-BMS Ferry Line - 12.859x74.832,IN-KA,18 Feb 2017,L5491087,S34603262
178,Black-bellied Tern,1,Dibru-Saikhowa NP,IN-AS,08 Apr 2016,L3612445,S33746355
179,River Tern,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
180,Royal Tern,4,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
181,Great Crested Tern,10,Kodi Kundapur,IN-KA,24 Dec 2016,L5188697,S33258598
182,Sandwich Tern,2,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
183,Lesser Crested Tern,4,Kodi Kundapur,IN-KA,24 Dec 2016,L5188697,S33258598
184,Chestnut-bellied Sandgrouse,10,Tungabhadra Right Canal,IN-KA,11 Nov 2015,L4873896,S26601605
185,Painted Sandgrouse,2,Tungabhadra Right Canal,IN-KA,11 Nov 2015,L4873896,S26601605
186,Rock Pigeon,1,Waterfront park,US-WA,12 Mar 2014,L5248664,S33613876
187,Hill Pigeon,2,Pang,IN-JK,06 Jul 2017,L6173787,S38599006
188,Nilgiri Wood-Pigeon,2,Nandi Hills,IN-KA,29 Mar 2017,L3150186,S35509850
189,Oriental Turtle-Dove,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
190,Eurasian Collared-Dove,5,NH209 Kanakapura Road,IN-KA,22 Feb 2015,L3439068,S22071661
191,Red Collared-Dove,1,Khagrabari,IN-WB,21 Jun 2015,L4938672,S25556459
192,Spotted Dove,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
